  PID TTY           TIME CMD
    1 ??         0:10.53 /sbin/launchd
   49 ??         0:01.07 /usr/sbin/syslogd
   50 ??         0:00.71 /usr/libexec/UserEventAgent (System)
   53 ??         0:00.12 /System/Library/PrivateFrameworks/Uninstall.framework/Resources/uninstalld
   54 ??         0:02.75 /usr/libexec/kextd
   55 ??         0:03.79 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
   57 ??         0:00.20 /Library/PrivilegedHelperTools/com.wacom.TabletHelper.app/Contents/MacOS/com.wacom.TabletHelper
   58 ??         0:01.12 /opt/cisco/anyconnect/bin/vpnagentd -execv_instance
   59 ??         0:00.14 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
   62 ??         0:00.03 /Library/Application Support/Pharos/Notify.app/Contents/MacOS/psnotifyd
   63 ??         0:00.25 /System/Library/CoreServices/appleeventsd --server
   64 ??         0:00.98 /usr/sbin/systemstats --daemon
   66 ??         0:01.05 /usr/libexec/configd
   67 ??         0:02.41 /System/Library/CoreServices/powerd.bundle/powerd
   70 ??         0:04.65 /usr/libexec/logd
   71 ??         0:00.02 /usr/libexec/keybagd -t 15
   72 ??         0:00.02 /Library/Application Support/MICE/360Daemon.app/Contents/MacOS/360Daemon
   78 ??         0:08.12 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
   79 ??         0:00.09 /System/Library/CoreServices/iconservicesd
   80 ??         0:00.49 /usr/libexec/diskarbitrationd
   83 ??         0:00.07 /System/Library/CoreServices/backupd.bundle/Contents/Resources/backupd-helper -launchd
   84 ??         0:00.67 /usr/libexec/coreduetd
   87 ??         0:07.45 /usr/libexec/opendirectoryd
   88 ??         0:00.75 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
   89 ??         0:00.02 /System/Library/PrivateFrameworks/Noticeboard.framework/Versions/A/Resources/nbstated
   90 ??         0:02.95 /System/Library/CoreServices/launchservicesd
   91 ??         0:00.08 /usr/libexec/timed
   93 ??         0:05.75 /usr/sbin/securityd -i
   94 ??         0:00.05 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
   96 ??         0:03.51 /usr/libexec/locationd
   97 ??         0:00.02 autofsd
   98 ??         0:00.14 /usr/libexec/displaypolicyd -k 1
  101 ??         0:01.60 /usr/libexec/dasd
  103 ??         0:01.67 /usr/libexec/PerfPowerServices
  105 ??         0:02.34 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow console
  106 ??         0:00.05 /System/Library/CoreServices/logind
  107 ??         0:00.08 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
  108 ??         0:00.01 /usr/sbin/KernelEventAgent
  110 ??         0:00.29 /usr/sbin/bluetoothd
  112 ??         0:18.81 /usr/libexec/hidd
  113 ??         0:00.29 /usr/libexec/sandboxd
  114 ??         0:00.25 /usr/libexec/corebrightnessd --launchd
  115 ??         0:00.41 /usr/libexec/AirPlayXPCHelper
  116 ??         0:03.17 /usr/sbin/notifyd
  117 ??         0:00.24 /usr/sbin/distnoted daemon
  118 ??         0:01.42 /usr/sbin/cfprefsd daemon
  140 ??         0:00.66 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
  141 ??         0:00.02 aslmanager
  148 ??         0:01.30 /System/Library/CoreServices/coreservicesd
  150 ??         0:01.73 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
  156 ??         0:00.02 /System/Library/Frameworks/PCSC.framework/Versions/A/XPCServices/com.apple.ctkpcscd.xpc/Contents/MacOS/com.apple.ctkpcscd
  157 ??         0:00.18 /usr/libexec/nehelper
  159 ??         0:06.86 /usr/libexec/airportd
  161 ??         0:08.04 /usr/libexec/trustd
  165 ??         0:00.03 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -s
  167 ??         1:49.54 /usr/sbin/coreaudiod
  174 ??         0:01.86 /usr/libexec/symptomsd
  176 ??         0:00.85 /usr/libexec/mobileassetd
  183 ??         0:00.46 /usr/sbin/ocspd
  189 ??         0:00.05 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar -daemon
  190 ??         0:00.64 /usr/libexec/nsurlsessiond --privileged
  194 ??         0:00.53 /usr/libexec/lsd runAsRoot
  195 ??         0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
